Date,total_lmp,node_name
7/1/2022 2:00:00 PM,130.25610,CHICAGO HUB
7/1/2022 2:00:00 PM,138.30674,DOMINION HUB
7/1/2022 2:00:00 PM,141.46129,EASTERN HUB
7/1/2022 2:00:00 PM,128.99136,N ILLINOIS HUB
7/1/2022 2:00:00 PM,129.75496,NEW JERSEY HUB
7/1/2022 2:00:00 PM,138.03168,OHIO HUB
7/1/2022 2:00:00 PM,138.30333,WEST INT HUB
7/1/2022 2:00:00 PM,148.48383,WESTERN HUB
7/1/2022 3:00:00 PM,144.56921,AEP GEN HUB
7/1/2022 3:00:00 PM,150.05614,AEP-DAYTON HUB
7/1/2022 3:00:00 PM,150.99977,ATSI GEN HUB
7/1/2022 3:00:00 PM,141.17630,CHICAGO GEN HUB
7/1/2022 3:00:00 PM,144.32429,CHICAGO HUB
7/1/2022 3:00:00 PM,151.71351,DOMINION HUB
7/1/2022 3:00:00 PM,174.99472,EASTERN HUB
7/1/2022 3:00:00 PM,142.89852,N ILLINOIS HUB
7/1/2022 3:00:00 PM,140.58668,NEW JERSEY HUB
7/1/2022 3:00:00 PM,150.83547,OHIO HUB
7/1/2022 3:00:00 PM,151.24555,WEST INT HUB
7/1/2022 3:00:00 PM,160.55736,WESTERN HUB
7/1/2022 4:00:00 PM,159.28000,AEP GEN HUB
7/1/2022 4:00:00 PM,166.64259,AEP-DAYTON HUB
7/1/2022 4:00:00 PM,168.03931,ATSI GEN HUB
7/1/2022 4:00:00 PM,158.47915,CHICAGO GEN HUB
7/1/2022 4:00:00 PM,161.93503,CHICAGO HUB
7/1/2022 4:00:00 PM,169.31326,DOMINION HUB
7/1/2022 4:00:00 PM,197.61555,EASTERN HUB
7/1/2022 4:00:00 PM,160.29624,N ILLINOIS HUB
7/1/2022 4:00:00 PM,166.70799,NEW JERSEY HUB
7/1/2022 4:00:00 PM,167.47515,OHIO HUB
7/1/2022 4:00:00 PM,169.54611,WEST INT HUB
7/1/2022 4:00:00 PM,177.68684,WESTERN HUB
7/1/2022 5:00:00 PM,153.60842,AEP GEN HUB
7/1/2022 5:00:00 PM,160.38804,AEP-DAYTON HUB
7/1/2022 5:00:00 PM,160.91477,ATSI GEN HUB
7/1/2022 5:00:00 PM,152.89384,CHICAGO GEN HUB
7/1/2022 5:00:00 PM,156.27477,CHICAGO HUB
7/1/2022 5:00:00 PM,163.86573,DOMINION HUB
7/1/2022 5:00:00 PM,199.23186,EASTERN HUB
7/1/2022 5:00:00 PM,154.70417,N ILLINOIS HUB
7/1/2022 5:00:00 PM,159.13974,NEW JERSEY HUB
7/1/2022 5:00:00 PM,161.44834,OHIO HUB
7/1/2022 5:00:00 PM,162.49666,WEST INT HUB
7/1/2022 5:00:00 PM,169.72070,WESTERN HUB
7/1/2022 6:00:00 PM,123.44210,AEP GEN HUB
7/1/2022 6:00:00 PM,128.71754,AEP-DAYTON HUB
7/1/2022 6:00:00 PM,127.90068,ATSI GEN HUB
7/1/2022 6:00:00 PM,123.13061,CHICAGO GEN HUB
7/1/2022 6:00:00 PM,125.85998,CHICAGO HUB
7/1/2022 6:00:00 PM,132.22050,DOMINION HUB
7/1/2022 6:00:00 PM,167.00747,EASTERN HUB
7/1/2022 6:00:00 PM,124.61228,N ILLINOIS HUB
7/1/2022 6:00:00 PM,128.54646,NEW JERSEY HUB
7/1/2022 6:00:00 PM,129.63063,OHIO HUB
7/1/2022 6:00:00 PM,128.49222,WEST INT HUB
7/1/2022 6:00:00 PM,136.06196,WESTERN HUB
7/1/2022 7:00:00 PM,105.81105,AEP GEN HUB
7/1/2022 7:00:00 PM,109.89623,AEP-DAYTON HUB
7/1/2022 7:00:00 PM,107.32227,ATSI GEN HUB
7/1/2022 7:00:00 PM,105.58653,CHICAGO GEN HUB
7/1/2022 7:00:00 PM,107.82490,CHICAGO HUB
7/1/2022 7:00:00 PM,110.78743,DOMINION HUB
7/1/2022 7:00:00 PM,141.57005,EASTERN HUB
7/1/2022 7:00:00 PM,106.81491,N ILLINOIS HUB
7/1/2022 7:00:00 PM,105.31536,NEW JERSEY HUB
7/1/2022 7:00:00 PM,110.64659,OHIO HUB
7/1/2022 7:00:00 PM,107.92610,WEST INT HUB
7/1/2022 7:00:00 PM,112.89613,WESTERN HUB
7/1/2022 8:00:00 PM,99.29657,AEP GEN HUB
7/1/2022 8:00:00 PM,102.85532,AEP-DAYTON HUB
7/1/2022 8:00:00 PM,98.46704,ATSI GEN HUB
7/1/2022 8:00:00 PM,99.14307,CHICAGO GEN HUB
7/1/2022 8:00:00 PM,101.05961,CHICAGO HUB
7/1/2022 8:00:00 PM,105.63085,DOMINION HUB
7/1/2022 8:00:00 PM,109.01627,EASTERN HUB
7/1/2022 8:00:00 PM,100.17411,N ILLINOIS HUB
7/1/2022 8:00:00 PM,90.30393,NEW JERSEY HUB
7/1/2022 8:00:00 PM,103.41208,OHIO HUB
7/1/2022 8:00:00 PM,100.73944,WEST INT HUB
7/1/2022 8:00:00 PM,103.94144,WESTERN HUB
7/1/2022 9:00:00 PM,89.10157,AEP GEN HUB
7/1/2022 9:00:00 PM,91.56103,AEP-DAYTON HUB
7/1/2022 9:00:00 PM,91.49659,ATSI GEN HUB
7/1/2022 9:00:00 PM,88.36938,CHICAGO GEN HUB
7/1/2022 9:00:00 PM,90.01047,CHICAGO HUB
7/1/2022 9:00:00 PM,94.04981,DOMINION HUB
7/1/2022 9:00:00 PM,88.64214,EASTERN HUB
7/1/2022 9:00:00 PM,89.24435,N ILLINOIS HUB
7/1/2022 9:00:00 PM,86.28596,NEW JERSEY HUB
7/1/2022 9:00:00 PM,91.89897,OHIO HUB
7/1/2022 9:00:00 PM,91.64222,WEST INT HUB
7/1/2022 9:00:00 PM,93.20145,WESTERN HUB
7/1/2022 10:00:00 PM,76.79289,AEP GEN HUB
7/1/2022 10:00:00 PM,78.55860,AEP-DAYTON HUB
7/1/2022 10:00:00 PM,78.90659,ATSI GEN HUB
7/1/2022 10:00:00 PM,76.00923,CHICAGO GEN HUB
